title,Capacity_GB,Generation,Speed_MHz,Latency,Voltage,Brand,Is_kit,Is_gaming,Final_Price
【DDR4 RAM】 GIGASTONE Game PRO 32GB Kit (2x16GB) DDR4 3200MHz PC4-25600 CL 16-18-18-40 Intel XMP 2.0 AMD Ryzen 1.35V UDIMM 288 Pin Unbuffered Non ECC High Performance Gaming Desktop Memory - White,32.0,4.0,3200.0,16.0,1.35,unknown,1.0,1.0,278.99
Acclamator DDR4 32GB Kit (2x16GB) 3200MHz (or 2933MHz or 2666MHz) PC4-25600 CL22 1.2V Unbuffered Non-ECC SODIMM 260-Pin Laptop Notebook PC Computer Memory Module Ram Upgrade,32.0,4.0,3200.0,22.0,1.2,unknown,1.0,0.0,219.99
CORSAIR Vengeance LPX DDR4 RAM 32GB (2x16GB) 3200MHz CL16-20-20-38 1.35V Intel AMD Desktop Computer Memory - Black (CMK32GX4M2E3200C16),32.0,4.0,3200.0,16.0,1.35,corsair,1.0,1.0,219.99
"Crucial 32GB DDR4 RAM Kit (2x16GB), 3200MHz (PC4-25600) CL22 Laptop Memory, SODIMM 260-Pin, Downclockable to 2933/2666MHz, Compatible with 13th Gen Intel Core and AMD Ryzen 7000 - CT2K16G4SFRA32A",32.0,4.0,3200.0,22.0,1.2,crucial,1.0,0.0,254.8
"Crucial 32GB DDR4 RAM Kit (2x16GB), 3200MHz (PC4-25600) CL22 Desktop Memory, UDIMM 288-Pin, Downclockable to 2933/2666MHz, Compatible with Intel and AMD Ryzen - CT2K16G4DFRA32A",32.0,4.0,3200.0,22.0,1.2,crucial,1.0,0.0,254.79
A-Tech 32GB (2x16GB) DDR4 3200 MHz SODIMM PC4-25600 (PC4-3200AA) CL22 Non-ECC Laptop RAM Memory Modules,32.0,4.0,3200.0,22.0,1.2,a-tech,1.0,0.0,258.38
LinkMore 32GB Kit (2 x 16GB) DDR4 3200MH SODIMM (PC4-25600) CL22 1.2V Laptop Memory Module,32.0,4.0,3200.0,22.0,1.2,unknown,1.0,0.0,239.99
【RGB DDR4 RAM】GIGASTONE Game TURBO 32GB Kit (2x16GB)DDR4 3200MHz PC4-25600 CL16-18-18-40 Intel XMP 2.0 AMD Ryzen 1.35V UDIMM 288 Pin Unbuffered Non ECC High Performance Gaming Desktop Memory - Black,32.0,4.0,3200.0,16.0,1.35,unknown,1.0,1.0,298.99
【DDR3 RAM】 GIGASTONE 32GB Kit (4x8GB) DDR3/DDR3L 1600MHz (1333MHz) PC3-12800 (PC3-10600) CL11 1.35V/1.5V 2Rx8 UDIMM 240 Pin Unbuffered Non ECC High Performance PC Desktop Memory Upgrade,32.0,3.0,1600.0,11.0,1.35,unknown,1.0,0.0,88.99
Timetec 32GB KIT(2x16GB) DDR4 3200MHz (or 2933MHz or 2666MHz) PC4-25600 Non-ECC Unbuffered 1.2V CL22 2Rx8 Dual Rank 260 Pin SODIMM Laptop Notebook PC Computer Memory RAM Module Upgrade,32.0,4.0,3200.0,22.0,1.2,timetec,1.0,0.0,229.99
TEAMGROUP Elite DDR4 32GB Kit (2 x 16GB) 3200MHz (PC4-25600) CL22 Unbuffered Non-ECC 1.2V UDIMM 288 Pin PC Computer Desktop Memory Module Ram Upgrade - TED432G3200C22DC01,32.0,4.0,3200.0,22.0,1.2,teamgroup,1.0,0.0,250.99
Netac DDR4 DRAM 32GB Kit (2x16GB) 3200MHz XMP 2.0 Dual Channel RAM CL16 (PC4-25600) 1.35V 288-Pin Upgraded Aluminum Heat Sink Ideal for Gaming Computer Upgrade - Shadow II Series,32.0,4.0,3200.0,16.0,1.35,unknown,1.0,1.0,236.99
G.SKILL Trident Z RGB Series DDR4 RAM (XMP) 32GB (2x16GB) 4000MT/s CL18-22-22-42 1.40V Desktop Computer Memory U-DIMM (F4-4000C18D-32GTZR),32.0,4.0,4000.0,18.0,1.4,g.skill,1.0,1.0,319.99
"【DDR4 RAM Laptop Only】 GIGASTONE 32GB Kit (2x16GB) DDR4 3200MHz (2933MHz or 2666MHz) PC4-25600 (PC4-23400, 21300) CL22 1.2V SODIMM 260 Pin Unbuffered Non ECC High Performance Notebook Memory Upgrade",32.0,4.0,3200.0,22.0,1.2,unknown,1.0,0.0,268.99
Crucial RAM 32GB Kit (16GBx2) DDR4 3200MHz CL22 (or 2933MHz or 2666MHz) Desktop Memory CT2K16G4DFD832A,32.0,4.0,3200.0,22.0,1.2,crucial,1.0,0.0,252.99
Samsung 32GB (2x16GB) DDR4 3200MHz PC4-25600 (PC4-3200AA) CL22 UDIMM 1Rx8 Single Rank 1.2V Non-ECC DIMM 288-Pin Desktop PC RAM Memory,32.0,4.0,3200.0,22.0,1.2,samsung,1.0,0.0,243.9
Silicon Power Value Gaming DDR4 RAM 32GB (2x16GB) 3200MHz (PC4 25600) 288-pin CL16 1.35V UDIMM Desktop Memory Module with Heatsink Grey SU032GXLZU320BDAJ7,32.0,4.0,3200.0,16.0,1.35,unknown,1.0,1.0,209.97
"DDR4 3200MHz RAM 32GB Kit (2x16GB) XMP 2.0 CL16 UDIMM, Desktop Memory Module PC4-25600 288-Pin 1.35V Non-ECC Unbuffered PC Computer RAM Stick Upgrade - Blue",32.0,4.0,3200.0,16.0,1.35,unknown,1.0,0.0,215.99
CORSAIR Vengeance SODIMM DDR4 RAM 32GB (2x16GB) 3200MHz CL22-22-22-53 1.2V Intel AMD Laptop Notebook Memory - Black (CMSX32GX4M2A3200C22),32.0,4.0,3200.0,22.0,1.2,corsair,1.0,1.0,262.99
Patriot Viper Steel RGB DDR4 RAM 32GB (2X16GB) 3200MHz CL18 1.35v UDIMM Desktop Gaming Memory Kit Compatible with XMP - PVSR432G320C8K,32.0,4.0,3200.0,18.0,1.35,patriot,1.0,1.0,289.99
NEMIX RAM 32GB (2X16GB) DDR4 3200MHZ PC4-25600 2Rx8 1.2V CL22 288-PIN ECC Unbuffered UDIMM KIT,32.0,4.0,3200.0,22.0,1.2,unknown,1.0,0.0,378.99
Kingston Fury Beast 32GB (2x16GB) 3200MT/s DDR4 CL16 Desktop Memory Kit of 2 KF432C16BBK2/32,32.0,4.0,3200.0,16.0,1.35,kingston,1.0,1.0,298.77
NEMIX RAM 128GB (8X16GB) DDR4 3200MHZ PC4-25600 2Rx4 1.2V CL22 288-PIN ECC RDIMM Registered Server Memory KIT Compatible with GIGABYTE MC62-G40 MC62-G41 Motherboard,128.0,4.0,3200.0,22.0,1.2,unknown,1.0,0.0,1475.49
