Capacity_GB,Generation,Speed_MHz,Brand,Is_kit,Final_Price
16.0,4.0,3200.0,A-Tech,False,129.19
16.0,4.0,3200.0,A-Tech,True,149.98
16.0,4.0,3200.0,Unknown,True,124.99
16.0,4.0,3200.0,TEAMGROUP,True,149.99
16.0,4.0,3200.0,A-Tech,True,149.98
32.0,4.0,3200.0,Unknown,True,278.99
32.0,4.0,3200.0,Unknown,True,219.99
16.0,4.0,2400.0,Timetec,False,105.99
32.0,4.0,3200.0,CORSAIR,True,219.99
16.0,4.0,3200.0,TEAMGROUP,True,149.99
16.0,4.0,3200.0,Unknown,True,139.89
16.0,4.0,3200.0,TEAMGROUP,True,139.99
16.0,4.0,3200.0,Unknown,True,99.99
16.0,4.0,3200.0,TEAMGROUP,True,138.99
16.0,4.0,3200.0,Crucial,True,165.0
16.0,4.0,3200.0,Dell,True,139.89
32.0,4.0,3200.0,Crucial,True,254.8
32.0,4.0,3200.0,Crucial,True,254.79
16.0,4.0,3200.0,Timetec,True,129.99
32.0,4.0,3200.0,A-Tech,True,258.38
16.0,4.0,3200.0,Unknown,True,119.99
16.0,4.0,3200.0,Crucial,True,154.8
16.0,4.0,3200.0,Patriot,True,151.99
32.0,4.0,3200.0,Unknown,True,239.99
32.0,4.0,3200.0,Unknown,True,298.99
16.0,4.0,3200.0,A-Tech,False,130.99
32.0,3.0,1600.0,Unknown,True,88.99
32.0,4.0,3200.0,Timetec,True,229.99
32.0,4.0,3200.0,TEAMGROUP,True,250.99
16.0,4.0,3200.0,Patriot,True,149.99
16.0,4.0,3200.0,Samsung,True,137.94
32.0,4.0,3200.0,Unknown,True,236.99
16.0,4.0,3200.0,CORSAIR,False,131.99
32.0,4.0,4000.0,G.SKILL,True,319.99
16.0,4.0,3200.0,Patriot Memory,True,151.99
16.0,4.0,3200.0,Unknown,True,132.99
16.0,4.0,3200.0,Unknown,True,147.97
16.0,4.0,3200.0,G.SKILL,True,159.99
32.0,4.0,3200.0,Unknown,True,268.99
16.0,4.0,3200.0,SK Hynix,True,149.99
16.0,4.0,3200.0,Patriot Memory,True,149.99
16.0,4.0,3200.0,G.SKILL,True,174.99
32.0,4.0,3200.0,Crucial,True,252.99
16.0,4.0,3200.0,Kingston,False,129.9
32.0,4.0,3200.0,Samsung,True,243.9
32.0,4.0,3200.0,Unknown,True,209.97
32.0,4.0,3200.0,Unknown,True,215.99
16.0,4.0,3200.0,Samsung,False,128.0
32.0,4.0,3200.0,CORSAIR,True,262.99
16.0,4.0,3200.0,Kingston,False,137.99
32.0,4.0,3200.0,Patriot,True,289.99
32.0,4.0,3200.0,Unknown,True,378.99
32.0,4.0,3200.0,Kingston,True,298.77
128.0,4.0,3200.0,Unknown,True,1475.49
16.0,4.0,3200.0,Samsung,True,164.79
16.0,4.0,3200.0,Samsung,True,178.0
32.0,4.0,3200.0,Kingston,True,299.77
128.0,4.0,3200.0,Dell,True,1475.49
128.0,4.0,3200.0,Dell,True,1475.49
32.0,4.0,3200.0,Samsung,True,280.0
128.0,4.0,3200.0,Unknown,True,1475.49
8.0,4.0,3200.0,Kingston,True,136.99
16.0,4.0,3200.0,DELL,True,178.99
32.0,4.0,3200.0,Dell,True,371.89
32.0,4.0,3200.0,Unknown,True,241.38
16.0,4.0,3200.0,Unknown,True,139.89
64.0,4.0,3200.0,Dell,True,756.99
64.0,4.0,3200.0,Unknown,True,756.99
16.0,4.0,3200.0,Unknown,False,132.99
16.0,4.0,3200.0,Unknown,True,139.89
16.0,4.0,3200.0,G.SKILL,True,159.99
32.0,4.0,3200.0,Patriot,True,289.99
32.0,4.0,3200.0,Unknown,True,241.38
16.0,4.0,3200.0,Unknown,True,139.89
16.0,4.0,3200.0,A-Tech,True,299.98
32.0,4.0,3200.0,A-Tech,True,299.98
16.0,4.0,3200.0,Unknown,True,120.0
16.0,4.0,3200.0,A-Tech,True,169.98
32.0,4.0,3200.0,A-Tech,True,299.98
32.0,4.0,3200.0,A-Tech,True,271.52
32.0,4.0,3200.0,A-Tech,True,299.98
32.0,4.0,3200.0,A-Tech,True,299.98
16.0,4.0,3200.0,A-Tech,True,169.98
32.0,4.0,3200.0,A-Tech,True,299.98
32.0,4.0,3200.0,A-Tech,True,299.98
32.0,5.0,6000.0,CORSAIR,True,369.99
32.0,5.0,6400.0,Crucial,True,369.99
32.0,5.0,6000.0,Crucial,True,389.0
32.0,5.0,6000.0,TEAMGROUP,True,459.99
32.0,5.0,6000.0,G.SKILL,True,420.0
32.0,5.0,6000.0,Unknown,True,398.99
32.0,5.0,6000.0,Unknown,True,799.99
32.0,5.0,6000.0,Unknown,True,459.99
32.0,5.0,6000.0,Crucial,True,389.95
32.0,5.0,5600.0,Crucial,True,349.99
32.0,5.0,6000.0,G.SKILL,True,509.99
32.0,5.0,6000.0,G.SKILL,True,499.99
32.0,5.0,6400.0,CORSAIR,True,399.99
32.0,5.0,6000.0,TEAMGROUP,True,479.99
32.0,5.0,6000.0,Unknown,True,449.97
32.0,5.0,6400.0,CORSAIR,True,430.99
32.0,5.0,6000.0,Unknown,False,379.99
96.0,5.0,5600.0,Unknown,True,34499.99
768.0,5.0,5600.0,Unknown,True,27429.99
64.0,5.0,5600.0,Unknown,True,969.99
32.0,4.0,3200.0,Unknown,False,296.99
32.0,5.0,6000.0,SK hynix,True,549.99
64.0,5.0,6000.0,Unknown,True,809.99
32.0,5.0,5600.0,A-Tech,False,409.99
32.0,5.0,6000.0,G.SKILL,True,441.0
32.0,5.0,6000.0,Kingston,False,469.99
32.0,5.0,6000.0,TEAMGROUP,True,499.49
32.0,5.0,6000.0,TEAMGROUP,True,489.49
32.0,5.0,6000.0,Patriot Memory,True,474.99
32.0,5.0,6000.0,Kingston,True,499.99
32.0,5.0,6000.0,SK Hynix,True,499.99
32.0,5.0,6000.0,G.SKILL,True,479.99
32.0,5.0,6000.0,G.SKILL,True,479.99
32.0,5.0,6000.0,CORSAIR,True,505.99
32.0,5.0,6000.0,CORSAIR,True,317.22
32.0,5.0,6000.0,SK Hynix,True,464.99
32.0,5.0,6400.0,TEAMGROUP,True,549.99
32.0,5.0,4800.0,Unknown,True,1078.99
32.0,5.0,6000.0,Patriot,True,421.49
32.0,5.0,6000.0,G.SKILL,True,479.99
32.0,5.0,6000.0,Unknown,True,449.97
32.0,5.0,4800.0,Crucial,True,447.95
32.0,5.0,6000.0,Unknown,True,508.99
32.0,5.0,6000.0,SK Hynix,True,479.99
128.0,5.0,6000.0,Unknown,True,1968.99
32.0,5.0,6000.0,Unknown,True,357.99
64.0,5.0,6000.0,CORSAIR,True,926.99
32.0,5.0,6000.0,TEAMGROUP,True,489.99
32.0,5.0,6000.0,Patriot Memory,True,469.99
32.0,5.0,6000.0,G.SKILL,True,519.99
32.0,5.0,5200.0,Kingston,True,441.69
32.0,5.0,6000.0,CORSAIR,True,430.99
32.0,5.0,6000.0,G.SKILL,True,505.0
64.0,5.0,6000.0,G.SKILL,True,949.99
32.0,5.0,5600.0,CORSAIR,True,418.99
32.0,5.0,6000.0,G.SKILL,True,519.99
32.0,5.0,6000.0,Patriot Memory,True,449.99
32.0,5.0,6000.0,Patriot Memory,False,431.99
32.0,5.0,4800.0,Crucial,True,368.0
32.0,5.0,6000.0,G.SKILL,True,559.99
64.0,5.0,4800.0,Unknown,True,619.99
64.0,5.0,6000.0,G.SKILL,True,869.99
32.0,5.0,6000.0,Unknown,True,639.99
64.0,5.0,6000.0,G.SKILL,True,1014.99
32.0,5.0,6400.0,Kingston,True,540.0
32.0,5.0,6000.0,Unknown,True,429.97
32.0,5.0,6000.0,G.SKILL,True,479.99
32.0,5.0,6000.0,Unknown,True,439.97
32.0,5.0,6000.0,G.SKILL,True,564.52
64.0,5.0,6000.0,Corsair,True,852.83
32.0,5.0,8000.0,Patriot,True,699.99
