title,Capacity_GB,Generation,Speed_MHz,Latency,Brand,Is_kit,Is_gaming,Final_Price
A-Tech 16GB DDR4 3200 MHz SODIMM PC4-25600 (PC4-3200AA) CL22 Non-ECC Laptop RAM Memory Module,16.0,4.0,3200.0,22,A-Tech,0.0,0.0,129.19
A-Tech 16GB (2x8GB) DDR4 3200 MHz UDIMM PC4-25600 (PC4-3200AA) CL22 DIMM Non-ECC Desktop RAM Memory Modules,16.0,4.0,3200.0,22,A-Tech,1.0,0.0,149.98
"PUSKILL DDR4 RAM 16GB Kit (2x8GB) 3200MHz PC4-25600 CL16 Desktop Memory - 1.35V UDIMM Low Latency, Intel XMP 2.0 Ready for Gaming PC, Compatible with Intel & AMD",16.0,4.0,3200.0,16,Unknown,1.0,1.0,124.99
TEAMGROUP T-Force Vulcan Z DDR4 16GB Kit (2x8GB) 3200MHz (PC4-25600) CL16 Desktop Memory Module Ram Black TLZBD416G3200HC16FDC01,16.0,4.0,3200.0,16,TEAMGROUP,1.0,1.0,149.99
A-Tech 16GB (2x8GB) DDR4 3200 MHz SODIMM PC4-25600 (PC4-3200AA) CL22 Non-ECC Laptop RAM Memory Modules,16.0,4.0,3200.0,22,A-Tech,1.0,0.0,149.98
【DDR4 RAM】 GIGASTONE Game PRO 32GB Kit (2x16GB) DDR4 3200MHz PC4-25600 CL 16-18-18-40 Intel XMP 2.0 AMD Ryzen 1.35V UDIMM 288 Pin Unbuffered Non ECC High Performance Gaming Desktop Memory - White,32.0,4.0,3200.0,16,Unknown,1.0,1.0,278.99
Acclamator DDR4 32GB Kit (2x16GB) 3200MHz (or 2933MHz or 2666MHz) PC4-25600 CL22 1.2V Unbuffered Non-ECC SODIMM 260-Pin Laptop Notebook PC Computer Memory Module Ram Upgrade,32.0,4.0,3200.0,22,Unknown,1.0,0.0,219.99
Timetec 16GB DDR4 2400MHz PC4-19200 Non-ECC Unbuffered 1.2V CL17 2Rx8 Dual Rank 260 Pin SODIMM Laptop Notebook PC Computer Memory RAM Module Upgrade (16GB),16.0,4.0,2400.0,17,Timetec,0.0,0.0,105.99
CORSAIR Vengeance LPX DDR4 RAM 32GB (2x16GB) 3200MHz CL16-20-20-38 1.35V Intel AMD Desktop Computer Memory - Black (CMK32GX4M2E3200C16),32.0,4.0,3200.0,16,CORSAIR,1.0,1.0,219.99
TEAMGROUP T-Force Vulcan Z DDR4 16GB Kit (2x8GB) 3200MHz (PC4-25600) CL16 Desktop Memory Module Ram (Gray) - TLZGD416G3200HC16CDC01,16.0,4.0,3200.0,16,TEAMGROUP,1.0,1.0,149.99
